family,type,p.ref,mut.model,enm,n.mut.p,R0.CA,R0.CM,K.analysis,chain.p.ref

serinProteases,beta,1mcta,LFENM,ANM,10,10,7.5,Keff,G
globins,alpha,1a4fb,LFENM,ANM,10,10,7.5,Keff,d
az,beta,1bxva,LFENM,ANM,10,10,7.5,Keff,G
phoslip,alpha,1jiaa,LFENM,ANM,10,10,7.5,Keff,L
fabp,beta,1hmt,LFENM,ANM,10,10,7.5,Keff,D

rrm,alpha and beta,1fxla2,LFENM,ANM,10,10,7.5,Keff,G
sh3,small,1lcka,LFENM,ANM,10,10,7.5,Keff,F
snakesToxin,small,1ntx,LFENM,ANM,10,10,7.5,Keff,S
FAKE,FAKE,1mcta,LFENM,ANM,10,10,7.5,Keff,G
fer4,small,1dura,LFENM,ANM,10,10,7.5,Keff,J
ldh,alpha-beta,1ldm,LFENM,ANM,10,10,7.5,Keff,G
gluts,multi-domain,1hna,LFENM,ANM,10,10,7.5,Keff,A
serinProteases,beta,1mcta,LFENM,ANM,10,10,7.5,Keff,G
cys,alpha and beta,1cqda,LFENM,ANM,10,10,7.5,Keff,H
